Step,Training Loss
1,2.900700
2,2.844500
3,3.064400
4,2.848100
5,2.772500
6,2.411200
7,1.934900
8,1.680300
9,1.247300
10,1.084300
11,0.987200
12,0.868400
13,1.055800
14,0.896000
15,0.794400
16,0.847800
17,0.823000
18,0.784000
19,0.817100
20,0.811100
21,0.825400
22,0.783500
23,0.763800
24,0.776400
25,0.774600
26,0.707300
27,0.774700
28,0.722500
29,0.735600
30,0.752100
31,0.713000
32,0.739200
33,0.706500
34,0.682700
35,0.704500
36,0.694900
37,0.711600
38,0.708000
39,0.736600
40,0.714600
41,0.686500
42,0.670700
43,0.746200
44,0.726200
45,0.701700
46,0.730700
47,0.699000
48,0.731900
49,0.744700
50,0.764200
51,0.751900
52,0.692600
53,0.679700
54,0.691600
55,0.748000
56,0.690400
57,0.685200
58,0.715600
59,0.721900
60,0.705400
61,0.733700
62,0.738700
63,0.694400
64,0.762100
65,0.695200
66,0.684500
67,0.713000
68,0.732900
69,0.699400
70,0.692600
71,0.712100
72,0.706000
73,0.691500
74,0.728500
75,0.692400
76,0.794800
77,0.704500
78,0.712500
79,0.682600
80,0.684500
81,0.754100
82,0.787000
83,0.759100
84,0.726200
85,0.715500
86,0.713700
87,0.686200
88,0.689800
89,0.691900
90,0.736600
91,0.713700
92,0.680800
93,0.709600
94,0.708100
95,0.782800
96,0.694500
97,0.774100
98,0.682800
99,0.724900
100,0.725100
101,0.708600
102,0.729000
103,0.716900
104,0.701400
105,0.697000
106,0.677100
107,0.710600
108,0.698200
109,0.719600
110,0.721900
111,0.714200
112,0.714900
113,0.674100
114,0.663700
115,0.773700
116,0.722900
117,0.669400
118,0.725300
119,0.748000
120,0.736100
121,0.692500
122,0.672100
123,0.763200
124,0.677800
125,0.712200
126,0.700600
127,0.695900
128,0.704000
129,0.777000
130,0.744500
131,0.692800
132,0.694200
133,0.693400
134,0.722800
135,0.688100
136,0.705900
137,0.692000
138,0.687300
139,0.721300
140,0.709400
141,0.708400
142,0.703600
143,0.682300
144,0.692300
145,0.691700
146,0.778700
147,0.718800
148,0.710300
149,0.684000
150,0.736700
151,0.757600
152,0.720900
153,0.732300
154,0.679100
155,0.716000
156,0.705800
157,0.790200
158,0.677600
159,0.711000
160,0.707700
161,0.699800
162,0.705600
163,0.693100
164,0.724200
165,0.693600
166,0.727000
167,0.671200
168,0.707200
169,0.698900
170,0.703500
171,0.753000
172,0.718500
173,0.711400
174,0.689500
175,0.666100
176,0.684400
177,0.710700
178,0.719300
179,0.691400
180,0.761300
181,0.741800
182,0.672100
183,0.720300
184,0.706100
185,0.689200
186,0.682300
187,0.721800
188,0.728800
189,0.700200
190,0.673300
191,0.805500
192,0.700500
193,0.716600
194,0.711800
195,0.710000
196,0.714700
197,0.692900
198,0.675600
199,0.733200
200,0.687200

